academic_year,jae_course_code,course_name,url
2016,C83,DIPLOMA IN INDUSTRIAL DESIGN,-
2016,C85,DIPLOMA IN INFORMATION TECHNOLOGY,-
2016,C89,"DIPLOMA IN ELECTRONICS, COMPUTER & COMMUNICATIONS ENGINEERING",-
2016,C93,DIPLOMA IN MASS MEDIA MANAGEMENT,-
2016,C94,DIPLOMA IN BUSINESS MANAGEMENT,-
2016,C96,DIPLOMA IN BANKING & FINANCE,-
2016,C97,DIPLOMA IN NURSING,-
2016,C98,DIPLOMA IN ACCOUNTANCY & FINANCE,-
2016,C99,DIPLOMA IN MARKETING,-
2017,C38,DIPLOMA IN SUSTAINABLE ARCHITECTURAL DESIGN,-
2017,C39,AEROSPACE / ELECTRICAL / ELECTRONICS PROGRAMME,-
2017,C40,AEROSPACE / MECHATRONICS PROGRAMME,-
2017,C41,DIPLOMA IN ENGINEERING WITH BUSINESS,-
2017,C42,COMMON ENGINEERING PROGRAMME,-
2017,C43,DIPLOMA IN BUSINESS INTELLIGENCE & ANALYTICS,-
2017,C45,DIPLOMA IN MEDICINAL CHEMISTRY,-
2017,C46,DIPLOMA IN FOOD & BEVERAGE BUSINESS,-
2017,C47,DIPLOMA IN SOCIAL SCIENCES (SOCIAL WORK),-
2017,C48,DIPLOMA IN ELECTRICAL ENGINEERING WITH ECO-DESIGN,-
2017,C49,DIPLOMA IN BIOLOGICS & PROCESS TECHNOLOGY,-
2017,C50,DIPLOMA IN NANOTECHNOLOGY & MATERIALS SCIENCE,-
2017,C51,DIPLOMA IN AERONAUTICAL & AEROSPACE TECHNOLOGY,-
2017,C52,DIPLOMA IN AEROSPACE SYSTEMS & MANAGEMENT,-
2017,C53,DIPLOMA IN TELEMATICS & MEDIA TECHNOLOGY,-
2017,C54,DIPLOMA IN CYBER SECURITY & FORENSICS,-
2017,C55,DIPLOMA IN CHEMICAL & GREEN TECHNOLOGY,-
2017,C56,DIPLOMA IN FUND MANAGEMENT & ADMINISTRATION,-
2017,C57,DIPLOMA IN DIGITAL VISUAL EFFECTS,-
2017,C58,DIPLOMA IN FINANCIAL INFORMATICS,-
2017,C59,DIPLOMA IN INTERACTION DESIGN,-
2017,C60,DIPLOMA IN DIGITAL GAME ART & DESIGN,-
2017,C61,DIPLOMA IN ANIMATION,-
2017,C62,DIPLOMA IN DIGITAL & PRECISION ENGINEERING,-
2017,C63,DIPLOMA IN VISUAL COMMUNICATION,-
2017,C64,DIPLOMA IN SPATIAL DESIGN,-
2017,C65,DIPLOMA IN PHARMACEUTICAL SCIENCES,-
2017,C66,DIPLOMA IN MOTION GRAPHICS & BROADCAST DESIGN,-
2017,C67,DIPLOMA IN HOSPITALITY & TOURISM MANAGEMENT,-
2017,C68,DIPLOMA IN BUSINESS ENTERPRISE IT,-
2017,C69,DIPLOMA IN FOOD SCIENCE & NUTRITION,-
2017,C70,DIPLOMA IN GAME DEVELOPMENT & TECHNOLOGY,-
2017,C71,DIPLOMA IN BIOMEDICAL ENGINEERING,-
2017,C72,DIPLOMA IN ORAL HEALTH THERAPY,-
2017,C73,DIPLOMA IN CHEMICAL & PHARMACEUTICAL TECHNOLOGY,-
2017,C74,DIPLOMA IN MOLECULAR BIOTECHNOLOGY,-
2017,C75,DIPLOMA IN MULTIMEDIA & INFOCOMM TECHNOLOGY,-
2017,C78,DIPLOMA IN BUSINESS INFORMATICS,-
2017,C80,DIPLOMA IN INFOCOMM AND SECURITY,-
2017,C81,DIPLOMA IN SPORT & WELLNESS MANAGEMENT,-
2017,C83,DIPLOMA IN INDUSTRIAL DESIGN,-
2017,C85,DIPLOMA IN INFORMATION TECHNOLOGY,-
2017,C89,DIPLOMA IN ELECTRONIC SYSTEMS,-
2017,C93,DIPLOMA IN MASS MEDIA MANAGEMENT,-
2017,C94,DIPLOMA IN BUSINESS MANAGEMENT,-
2017,C96,DIPLOMA IN BANKING & FINANCE,-
2017,C97,DIPLOMA IN NURSING,-
2017,C98,DIPLOMA IN ACCOUNTANCY & FINANCE,-
2017,C99,DIPLOMA IN MARKETING,-
2018,C38,DIPLOMA IN SUSTAINABLE ARCHITECTURAL DESIGN,-
2018,C39,AEROSPACE/ ELECTRICAL/ ELECTRONICS PROGRAMME,-
2018,C40,AEROSPACE/MECHATRONICS PROGRAMME,-
2018,C41,DIPLOMA IN ENGINEERING WITH BUSINESS,-
2018,C42,COMMON ENGINEERING PROGRAMME,-
2018,C43,DIPLOMA IN BUSINESS INTELLIGENCE & ANALYTICS,-
2018,C45,DIPLOMA IN MEDICINAL CHEMISTRY,-
2018,C46,DIPLOMA IN FOOD & BEVERAGE BUSINESS,-
2018,C47,DIPLOMA IN SOCIAL SCIENCES (SOCIAL WORK),-
2018,C48,DIPLOMA IN ELECTRICAL ENGINEERING WITH ECO-DESIGN,-
2018,C49,DIPLOMA IN BIOLOGICS & PROCESS TECHNOLOGY,-
2018,C50,DIPLOMA IN NANOTECHNOLOGY & MATERIALS SCIENCE,-
2018,C51,DIPLOMA IN AERONAUTICAL & AEROSPACE TECHNOLOGY,-
2018,C52,DIPLOMA IN AEROSPACE SYSTEMS & MANAGEMENT,-
2018,C54,DIPLOMA IN CYBER SECURITY & FORENSICS,-
2018,C55,DIPLOMA IN CHEMICAL & GREEN TECHNOLOGY,-
