year,course_type,course_name
2014,Part-Time,Higher Nitec in Technology - Marine & Offshore Technology
2014,Part-Time,Higher Nitec in Technology - Mechanical Engineering
2014,Part-Time,Higher Nitec in Technology - Mechatronics Engineering
2014,Part-Time,Higher Nitec in Technology - Offshore & Marine Engineering Design
2014,Part-Time,Higher Nitec in Technology - Security System Integration
2014,Part-Time,ITE Skills Certificate in Electrical Wiring
2014,Part-Time,ITE Skills Certificate in Gas Tungsten Arc Welding
2014,Part-Time,ITE Skills Certificate in Residential Air-Conditioning
2014,Part-Time,ITE Skills Certificate in Residential Plumbing
2014,Part-Time,ITE Skills Certificate in Shielded Metal Arc Welding
2014,Part-Time,Nitec in Services - Digital Animation
2014,Part-Time,Nitec in Services - Food & Beverage Operations
2014,Part-Time,Nitec in Services - Interactive Media Design
2014,Part-Time,Nitec in Services - Product Design
2014,Part-Time,Nitec in Services - Space Design (Interior & Exhibition)
2014,Part-Time,Nitec in Services - Visual Communication
2014,Part-Time,Nitec in Technology - Automotive Technology (Heavy Vehicles)
2014,Part-Time,Nitec in Technology - Automotive Technology (Light Vehicles)
2014,Part-Time,Nitec in Technology - Chemical Process Technology (Biologics)
2014,Part-Time,Nitec in Technology - Chemical Process Technology (Petrochemicals)
2014,Part-Time,Nitec in Technology - Chemical Process Technology (Pharmaceuticals)
2014,Part-Time,Nitec in Technology - Chemical Process Technology (Process Instrumentation)
2014,Part-Time,Nitec in Technology - Electrical Technology (Power & Control)
2014,Part-Time,Nitec in Technology - Electronics (Computer & Networking)
2014,Part-Time,Nitec in Technology - Electronics (Instrumentation)
2014,Part-Time,Nitec in Technology - Electronics (Mobile Devices)
2014,Part-Time,Nitec in Technology - Facility Technology (Air-Conditioning & Refrigeration)
2014,Part-Time,Nitec in Technology - Facility Technology (Mechanical & Electrical Services)
2014,Part-Time,Nitec in Technology - Facility Technology (Vertical Transportation)
2014,Part-Time,Nitec in Technology - Infocomm Technology (Networking & Systems Administration)
2014,Part-Time,Nitec in Technology - Mechanical Technology
2014,Part-Time,Nitec in Technology - Mechatronics
2014,Part-Time,Nitec in Technology - Security Technology
2014,Part-Time,Nitec in Technology - Social Media & Web Development
2014,Traineeship,Higher Nitec in Elder Care
2014,Traineeship,Higher Nitec in Marine & Offshore Technology
2014,Traineeship,Higher Nitec in Service Management
2014,Traineeship,ITE Skills Certificate in Health Care (Home Care)
2014,Traineeship,ITE Skills Certificate in Health Care (Outpatient)
2014,Traineeship,Nitec in Aircraft Maintenance (Avionics)
2014,Traineeship,Nitec in Aircraft Maintenance (Mechanical)
2014,Traineeship,Nitec in Automotive Technology (Heavy Vehicles)
2014,Traineeship,Nitec in Automotive Technology (Light Vehicles)
2014,Traineeship,Nitec in Beauty & Wellness
2014,Traineeship,Nitec in Business Services
2014,Traineeship,Nitec in Dental Assisting
2014,Traineeship,Nitec in Dental Technology
